Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Features
"Lil Nas,",Old Town Road,1,1.0,7.0,2019-07-06,"April 5, 2019","Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
Billie Eilish,Bad Guy,3,2.0,13.0,2019-07-06,"March 29, 2019","Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",nan
Khalid,Talk,4,3.0,20.0,2019-07-06,"February 7, 2019","Synth-Pop,Pop",nan
"Ed Sheeran, Justin Bieber",I Don't Care,5,2.0,7.0,2019-07-06,"May 10, 2019","Canada,UK,Dance,Dance-Pop,Pop",nan
Jonas Brothers,Sucker,6,1.0,17.0,2019-07-06,"March 1, 2019","Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",nan
DaBaby,Suge,7,7.0,13.0,2019-07-06,"March 1, 2019","Trap,East Coast,Rap",nan
Drake,Money In The Grave,8,7.0,2.0,2019-07-06,"June 15, 2019","Hip-Hop,Rap,Basketball,NBA,Canada",Rick Ross
Chris Brown,No Guidance,9,9.0,3.0,2019-07-06,"June 8, 2019","Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B",Drake
Post Malone,Wow.,10,2.0,27.0,2019-07-06,"December 24, 2018","Memes,Hip-Hop,Trap,Rap",nan
Lizzo,Truth Hurts,11,11.0,8.0,2019-07-06,"September 19, 2017","Pop,Rap",nan
"Post Malone, Swae Lee",Sunflower,12,1.0,36.0,2019-07-06,"October 18, 2018","Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",nan
Taylor Swift,You Need To Calm Down,13,2.0,2.0,2019-07-06,"June 14, 2019","Synth-Pop,LGBTQ+,Pop",nan
Shawn Mendes,If I Can't Have You,14,2.0,8.0,2019-07-06,"May 3, 2019","Canada,Teen Pop,Pop",nan
"Sam Smith, Normani",Dancing With A Stranger,15,7.0,24.0,2019-07-06,"January 11, 2019","UK,Pop",nan
Halsey,Without Me,17,1.0,38.0,2019-07-06,"October 4, 2018","Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",nan
Blake Shelton,God's Country,18,18.0,13.0,2019-07-06,"March 29, 2019",Country,nan
Polo G,Pop Out,19,11.0,14.0,2019-07-06,"January 13, 2019","Trap,Rap",Lil Tjay
Ava Max,Sweet But Psycho,21,10.0,28.0,2019-07-06,"August 17, 2018","Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop",nan
Ariana Grande,7 Rings,23,1.0,23.0,2019-07-06,"January 18, 2019","Memes,Trap,R&;B,Pop",nan
Panic! At The Disco,"Hey Look Ma, I Made It",24,24.0,11.0,2019-07-06,"June 22, 2018","Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",nan
"Marshmello, Bastille",Happier,25,2.0,45.0,2019-07-06,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",nan
Lee Brice,Rumor,26,25.0,16.0,2019-07-06,"November 3, 2017",Country,nan
Katy Perry,Never Really Over,27,15.0,4.0,2019-07-06,"May 31, 2019","Electro-Pop,Synth-Pop,Pop",nan
Morgan Wallen,Whiskey Glasses,28,17.0,17.0,2019-07-06,"April 27, 2018",Country,nan
Blanco Brown,The Git Up,29,29.0,3.0,2019-07-06,"May 2, 2019","Atlanta,Dance,Rap,Country Rap,Country",nan
"Young Thug, J. Cole, Travis Scott",The London,30,12.0,5.0,2019-07-06,"May 23, 2019","Hip-Hop,East Coast,Atlanta,Rap",nan
Taylor Swift,ME!,31,2.0,10.0,2019-07-06,"April 26, 2019","Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
Panic! At The Disco,High Hopes,32,4.0,47.0,2019-07-06,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
Luke Combs,Beer Never Broke My Heart,33,22.0,8.0,2019-07-06,"May 8, 2019","Rock,Country",nan
City Girls,Act Up,34,26.0,17.0,2019-07-06,"November 16, 2018","Motown,East Coast,Rap",nan
"benny blanco, Halsey, Khalid",Eastside,35,9.0,50.0,2019-07-06,"July 12, 2018","R&;B,Pop",nan
J. Cole,Middle Child,36,4.0,23.0,2019-07-06,"January 23, 2019","Trap,East Coast,Rap",nan
"Daddy Yankee, Katy Perry",Con Calma,37,22.0,21.0,2019-07-06,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
"Mustard, Migos",Pure Water,38,23.0,22.0,2019-07-06,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",nan
Ed Sheeran,Cross Me,39,34.0,5.0,2019-07-06,"May 24, 2019","Rap,R&;B,UK,Pop","Chance The Rapper, PnB Rock"
Meek Mill,Going Bad,40,6.0,30.0,2019-07-06,"November 30, 2018","East Coast,Canada,Rap",Drake
Khalid,Better,41,8.0,41.0,2019-07-06,"September 14, 2018","Electro-Pop,Pop,R&;B",nan
"Lady Gaga, Bradley Cooper",Shallow,42,1.0,39.0,2019-07-06,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",nan
Cardi B,Press,43,16.0,4.0,2019-07-06,"May 31, 2019","Hardcore Hip-Hop,Trap,Hip-Hop,Rap",nan
Dan + Shay,Speechless,44,24.0,27.0,2019-07-06,"May 18, 2018",Country,nan
Travis Scott,Sicko Mode,45,1.0,47.0,2019-07-06,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
"Tyler, The Creator",Earfquake,46,13.0,6.0,2019-07-06,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",nan
A Boogie Wit da Hoodie,Look Back At It,47,27.0,29.0,2019-07-06,"December 7, 2018","Pop,Rap",nan
NLE Choppa,Shotta Flow,48,48.0,10.0,2019-07-06,"January 17, 2019",Rap,nan
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",49,2.0,20.0,2019-07-06,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",nan
Halsey,Nightmare,50,15.0,6.0,2019-07-06,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",nan
"YG, Tyga, Jon Z",Go Loko,52,49.0,8.0,2019-07-06,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",nan
Lewis Capaldi,Someone You Loved,53,53.0,7.0,2019-07-06,"November 8, 2018","UK,Pop",nan
Thomas Rhett,Look What God Gave Her,54,32.0,17.0,2019-07-06,"March 1, 2019",Country,nan
Jonas Brothers,Cool,55,27.0,12.0,2019-07-06,"April 5, 2019","Teen Pop,Pop-Rock,Pop",nan
Offset,Clout,56,39.0,12.0,2019-07-06,"February 22, 2019","East Coast,Motown,Rap",Cardi B
Kane Brown,Good As You,58,36.0,18.0,2019-07-06,"October 19, 2018",Country,nan
YK Osiris,Worth It,59,52.0,19.0,2019-07-06,"February 8, 2019","Rap,East Coast,R&;B",nan
DJ Khaled,Just Us,60,43.0,6.0,2019-07-06,"May 16, 2019","Rap,R&;B",SZA
Luke Bryan,Knockin' Boots,61,59.0,9.0,2019-07-06,"March 29, 2019",Country,nan
P!nk,Walk Me Home,62,49.0,17.0,2019-07-06,"February 20, 2019",Pop,nan
Maren Morris,GIRL,63,59.0,17.0,2019-07-06,"January 17, 2019","Pop,Country,Pop Country",nan
5 Seconds Of Summer,Easier,64,48.0,5.0,2019-07-06,"May 23, 2019","Australia,Pop",nan
"Cardi B, Bruno Mars",Please Me,65,3.0,19.0,2019-07-06,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",nan
Eric Church,Some Of It,66,65.0,5.0,2019-07-06,"October 5, 2018",Country,nan
Dan + Shay,All To Myself,67,66.0,8.0,2019-07-06,"May 3, 2018",Country,nan
"Bad Bunny, Tainy",Callaita,68,68.0,3.0,2019-07-06,"May 31, 2019","Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol",nan
Meek Mill,24/7,69,54.0,12.0,2019-07-06,"November 30, 2018","East Coast,UK,R&;B,Rap",Ella Mai
Ali Gatie,It's You,70,70.0,2.0,2019-07-06,"June 14, 2019",R&;B,nan
Jason Aldean,Rearview Town,71,68.0,5.0,2019-07-06,"March 16, 2018",Country,nan
"The Chainsmokers, Bebe Rexha",Call You Mine,73,67.0,4.0,2019-07-06,"May 31, 2019","Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop",nan
"Summer Walker, Drake",Girls Need Love,74,37.0,18.0,2019-07-06,"February 27, 2019","Atlanta,Canada,Remix,R&;B",nan
"Lunay, Daddy Yankee, Bad Bunny",Soltera,75,73.0,7.0,2019-07-06,"May 10, 2019","Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",nan
Florida Georgia Line,Talk You Out Of It,76,73.0,19.0,2019-07-06,"July 6, 2018",Country,nan
SHAED,Trampoline,77,77.0,4.0,2019-07-06,"May 18, 2018",Pop,nan
"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,78,78.0,5.0,2019-07-06,"March 15, 2019","Hip-Hop,Rap",nan
Beyonce,Before I Let Go,79,65.0,10.0,2019-07-06,"April 17, 2019","Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",nan
DJ Khaled,Wish Wish,80,19.0,6.0,2019-07-06,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
Chris Young,Raised On Country,81,81.0,4.0,2019-07-06,"January 4, 2019",Country,nan
Travis Scott,Wake Up,82,30.0,4.0,2019-07-06,"August 3, 2018","Trap,R&;B,Canada,Rap",nan
Sech,Otro Trago,83,81.0,3.0,2019-07-06,"April 19, 2019","Dancehall,Reggaeton,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Puerto Rico,Latin Pop,Pop",Darell
Chase Rice,Eyes On You,84,38.0,19.0,2019-07-06,"October 13, 2017",Country,nan
Bryce Vine,La La Land,85,85.0,4.0,2019-07-06,"March 1, 2019","Pop,Rap,Hip-Hop,R&;B",YG
Billie Eilish,Ocean Eyes,86,84.0,18.0,2019-07-06,"November 19, 2015","Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",nan
Marshmello,Here With Me,87,31.0,16.0,2019-07-06,"March 8, 2019","Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop",CHVRCHES
Brett Eldredge,Love Someone,88,52.0,10.0,2019-07-06,"June 18, 2018",Country,nan
Lil Uzi Vert,Sanguine Paradise,89,28.0,11.0,2019-07-06,"April 9, 2019","East Coast,Trap,Rap",nan
Eli Young Band,Love Ain't,90,50.0,11.0,2019-07-06,"May 25, 2018",Country,nan
"Pedro Capo, Farruko",Calma,91,71.0,15.0,2019-07-06,"October 5, 2018","Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop",nan
Jonas Brothers,Only Human,92,91.0,3.0,2019-07-06,"June 7, 2019",Pop,nan
Justin Moore,The Ones That Didn't Make It Back Home,93,93.0,2.0,2019-07-06,"October 12, 2018",Country,nan
Megan Thee Stallion,Big Ole Freak,94,65.0,12.0,2019-07-06,"June 11, 2018",Rap,nan
NAV,Tap,95,89.0,3.0,2019-07-06,"March 22, 2019","Canada,East Coast,Rap",Meek Mill
DJ Khaled,You Stay,96,44.0,4.0,2019-07-06,"May 17, 2019","Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap","Meek Mill, J Balvin, Lil Baby, Jeremih"
"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,97,69.0,9.0,2019-07-06,"April 25, 2019","Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop",nan
Drake,Omerta,99,35.0,2.0,2019-07-06,"June 15, 2019","Hip-Hop,Basketball,NBA,Canada,Rap",nan
"Lil Nas,",Old Town Road,1,1.0,6.0,2019-06-29,"April 5, 2019","Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
Billie Eilish,Bad Guy,3,2.0,12.0,2019-06-29,"March 29, 2019","Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",nan
Khalid,Talk,4,3.0,19.0,2019-06-29,"February 7, 2019","Synth-Pop,Pop",nan
"Ed Sheeran, Justin Bieber",I Don't Care,5,2.0,6.0,2019-06-29,"May 10, 2019","Canada,UK,Dance,Dance-Pop,Pop",nan
Jonas Brothers,Sucker,6,1.0,16.0,2019-06-29,"March 1, 2019","Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",nan
Post Malone,Wow.,8,2.0,26.0,2019-06-29,"December 24, 2018","Memes,Hip-Hop,Trap,Rap",nan
DaBaby,Suge,9,8.0,12.0,2019-06-29,"March 1, 2019","Trap,East Coast,Rap",nan
Chris Brown,No Guidance,10,9.0,2.0,2019-06-29,"June 8, 2019","Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B",Drake
"Post Malone, Swae Lee",Sunflower,11,1.0,35.0,2019-06-29,"October 18, 2018","Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",nan
