City,State,Year,Month,Precipitation,Average Temp,High Temp,Low Temp,Wind Speed,Latitude,Longitude
Aberdeen,South Dakota,2016,1,0.0,18,29,7,6.16,40.4969875,-93.7703
Aberdeen,South Dakota,2016,1,0.04,15,23,6,9.91,40.4969875,-93.7703
Aberdeen,South Dakota,2016,1,0.05,7,17,-3,7.18,40.4969875,-93.7703
Aberdeen,South Dakota,2016,1,0.03,17,23,10,8.0,40.4969875,-93.7703
Aberdeen,South Dakota,2016,1,0.02,31,40,22,7.5,40.4969875,-93.7703
Aberdeen,South Dakota,2016,2,0.04,28,37,19,8.81,40.4969875,-93.7703
Aberdeen,South Dakota,2016,2,0.42,16,24,9,10.48,40.4969875,-93.7703
Aberdeen,South Dakota,2016,2,0.05,33,39,26,8.62,40.4969875,-93.7703
Aberdeen,South Dakota,2016,2,0.01,35,46,24,8.22,40.4969875,-93.7703
Aberdeen,South Dakota,2016,3,0.03,34,45,23,6.91,40.4969875,-93.7703
Aberdeen,South Dakota,2016,3,0.09,47,62,32,7.77,40.4969875,-93.7703
Aberdeen,South Dakota,2016,3,0.12,39,49,29,10.75,40.4969875,-93.7703
Aberdeen,South Dakota,2016,3,0.0,37,51,22,9.82,40.4969875,-93.7703
Aberdeen,South Dakota,2016,4,0.0,41,56,26,7.53,40.4969875,-93.7703
Aberdeen,South Dakota,2016,4,0.09,38,52,24,12.88,40.4969875,-93.7703
Aberdeen,South Dakota,2016,4,1.32,49,62,34,11.0,40.4969875,-93.7703
Aberdeen,South Dakota,2016,4,1.2,53,66,40,10.37,40.4969875,-93.7703
Aberdeen,South Dakota,2016,5,0.0,48,64,31,6.8,40.4969875,-93.7703
Aberdeen,South Dakota,2016,5,0.0,59,78,39,6.61,40.4969875,-93.7703
Aberdeen,South Dakota,2016,5,0.69,51,63,38,10.61,40.4969875,-93.7703
Aberdeen,South Dakota,2016,5,0.15,60,75,45,13.15,40.4969875,-93.7703
Aberdeen,South Dakota,2016,5,0.83,66,78,53,4.52,40.4969875,-93.7703
Aberdeen,South Dakota,2016,6,0.78,62,76,48,10.98,40.4969875,-93.7703
Aberdeen,South Dakota,2016,6,0.0,74,88,60,7.54,40.4969875,-93.7703
