Latitude,Longitude,labels
37.8718992,-122.2585399,"University of California, Berkeley"
38.5382322,-121.7617125,"University of California, Davis"
33.6404952,-117.8442962,"University of California, Irvine"
34.068921,-118.4451811,"University of California, Los Angeles"
37.3660652,-120.4224179,"University of California, Merced"
33.9737055,-117.3280644,"University of California, Riverside"
32.8800604,-117.2340135,"University of California, San Diego"
34.4139629,-119.848947,"University of California, Santa Barbara"
36.9880503,-122.0582093,"University of California, Santa Cruz"
38.0689193,-122.2303477,California State University Maritime Academy
35.3050053,-120.6624942,California Polytechnic State University
34.0588862,-117.8193781,"California State Polytechnic University, Pomona"
35.3486641,-119.1033448,"California State University, Bakersfield"
34.1620556,-119.043463,California State University Channel Islands
39.72979960000001,-121.8459842,"California State University, Chico"
33.8662483,-118.257364,"California State University, Dominguez Hills"
37.6571459,-122.0574872,"California State University, East Bay"
36.8133631,-119.7460947,"California State University, Fresno"
33.8823476,-117.8851033,"California State University, Fullerton"
33.7838235,-118.1140904,"California State University, Long Beach"
34.0667698,-118.1684392,"California State University, Los Angeles"
36.6516548,-121.7977985,"California State University, Monterey Bay"
34.2410366,-118.5276745,"California State University, Northridge"
38.5581553,-121.4214301,"California State University, Sacramento"
34.1813584,-117.3231875,"California State University, San Bernardino"
33.1294938,-117.1595707,California State University San Marcos
37.525248,-120.8553931,"California State University, Stanislaus"
40.8747332,-124.0789268,Humboldt State University
32.7759894,-117.0712533,San Diego State University
37.7241492,-122.4799405,San Francisco State University
37.3351874,-121.8810715,San Jose State University
38.3395854,-122.6743811,Sonoma State University
