State,Participation Rate,Critical Reading,Math,Writing
Alabama,6.7,547,538,532
Alaska,54.2,507,503,475
Arizona,36.4,522,525,500
Arkansas,4.2,573,571,554
California,60.3,498,510,496
Colorado,14.3,582,586,567
Connecticut,88.4,507,510,508
Delaware,100.0,456,459,444
District of Columbia,100.0,440,438,431
Florida,72.2,491,485,472
Georgia,77.2,488,485,472
Hawaii,62.6,484,504,472
Idaho,100.0,458,456,450
Illinois,4.6,599,616,587
Indiana,70.5,497,500,477
Iowa,3.1,605,611,578
Kansas,5.3,591,596,566
Kentucky,4.6,589,585,572
Louisiana,4.6,561,556,550
Maine,95.6,467,471,449
Maryland,78.5,492,495,481
Massachusetts,84.1,516,531,509
Michigan,3.8,593,610,581
Minnesota,5.9,598,610,578
Mississippi,3.2,583,566,565
Missouri,4.2,595,597,579
Montana,17.9,555,552,530
Nebraska,3.7,589,587,569
Nevada,54.2,495,494,469
New Hampshire,70.3,524,530,512
New Jersey,79.3,501,523,502
New Mexico,12.3,548,543,526
New York,76.3,488,502,478
North Carolina,63.8,499,507,477
North Dakota,2.3,612,620,584
Ohio,15.1,555,562,535
Oklahoma,4.5,576,571,550
Oregon,47.9,523,522,499
Pennsylvania,71.4,497,504,480
Rhode Island,73.0,497,496,487
South Carolina,64.9,488,490,465
South Dakota,2.9,604,609,579
Tennessee,7.9,578,570,566
Texas,62.0,476,495,461
Utah,5.2,571,568,551
Vermont,63.1,522,525,507
Virginia,73.1,518,515,497
Washington,63.1,510,518,491
West Virginia,14.8,517,505,500
Wisconsin,3.9,596,608,578
Wyoming,3.3,590,599,573
