Player,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,18,11,364,57,115,.496,0,10,.000,57,105,.543,.496,26,32,.813,26,99,31,9,11,33,46,140
Jaylyn Agnew,ATL,F,12,0,71,4,15,.267,3,13,.231,1,2,.500,.367,4,5,.800,0,5,3,0,0,5,7,15
Bella Alarie,DAL,C-F,22,3,309,24,66,.364,1,13,.077,23,53,.434,.371,10,12,.833,23,63,11,14,18,11,35,59
Kayla Alexander,MIN,C,16,0,89,16,30,.533,0,0,,16,30,.533,.533,5,8,.625,9,15,3,2,3,6,14,37
Julie Allemand,IND,G,22,22,716,61,134,.455,44,92,.478,17,42,.405,.619,22,30,.733,8,100,128,25,9,57,57,188
Lindsay Allen,LVA,G,21,21,284,28,66,.424,6,17,.353,22,49,.449,.470,8,10,.800,6,23,51,7,1,16,20,70
Kristine Anigwe,LAS,F-C,17,1,197,32,53,.604,0,0,,32,53,.604,.604,14,26,.538,18,45,4,11,7,16,33,78
Ariel Atkins,WAS,G,22,22,682,110,251,.438,44,107,.411,66,144,.458,.526,62,70,.886,18,64,53,40,4,42,58,326
Seimone Augustus,LAS,G-F,21,0,332,54,110,.491,12,22,.545,42,88,.477,.545,4,6,.667,3,37,25,12,2,8,20,124
Rachel Banham,MIN,G,20,1,339,48,104,.462,25,53,.472,23,51,.451,.582,16,20,.800,2,25,47,9,2,20,40,137
Monique Billings,ATL,F,22,16,596,68,170,.400,0,0,,68,170,.400,.400,51,67,.761,58,187,27,24,18,42,62,187
Sue Bird,SEA,G,11,11,257,41,83,.494,23,49,.469,18,34,.529,.633,3,4,.750,1,19,57,7,2,18,9,108
DeWanna Bonner,CON,F-G,22,22,732,148,351,.422,27,107,.252,121,244,.496,.460,111,124,.895,34,172,65,37,12,52,47,434
Brittany Brewer,ATL,F,5,0,33,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,5,0,3,4,2,4,4
Kalani Brown,ATL,C,10,0,61,12,23,.522,0,0,,12,23,.522,.522,6,10,.600,3,12,0,1,1,5,10,30
Lexie Brown,MIN,G,17,13,374,38,111,.342,14,52,.269,24,59,.407,.405,19,24,.792,3,33,41,31,0,24,26,109
Cierra Burdick,LVA,F,13,0,28,2,7,.286,0,0,,2,7,.286,.286,0,0,,1,5,2,0,0,1,2,4
Kennedy Burke,IND,G,22,11,403,57,127,.449,15,48,.313,42,79,.532,.508,30,42,.714,19,39,25,14,8,27,24,159
Jordin Canada,SEA,G,20,11,483,56,132,.424,1,11,.091,55,121,.455,.428,44,57,.772,10,46,109,30,0,40,35,157
Emma Cannon,LVA,F,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0
Bridget Carleton,MIN,G,22,15,568,53,102,.520,21,46,.457,32,56,.571,.623,18,28,.643,22,79,54,15,0,27,40,145
Essence Carson,CON,G,11,2,123,13,40,.325,6,21,.286,7,19,.368,.400,3,4,.750,1,17,7,4,1,6,12,35
Essence Carson,TOT,G,21,2,291,30,99,.303,12,44,.273,18,55,.327,.364,6,10,.600,7,35,12,9,2,16,21,78
Essence Carson,WAS,G,10,0,168,17,59,.288,6,23,.261,11,36,.306,.339,3,6,.500,6,18,5,5,1,10,9,43
Chennedy Carter,ATL,G,16,16,406,106,224,.473,12,32,.375,94,192,.490,.500,55,67,.821,8,36,55,14,5,43,57,279
Kaila Charles,CON,G-F,21,7,376,40,97,.412,11,30,.367,29,67,.433,.469,22,31,.710,23,54,19,16,7,19,45,113
Karima Christmas-Kelly,MIN,F-G,2,0,25,1,7,.143,0,3,.000,1,4,.250,.143,7,8,.875,1,6,1,3,1,4,2,9
Layshia Clarendon,NYL,G,19,19,496,74,159,.465,15,44,.341,59,115,.513,.513,55,63,.873,6,48,74,18,0,64,55,218
Alysha Clark,SEA,F,22,22,633,82,147,.558,35,67,.522,47,80,.588,.677,20,25,.800,19,93,59,33,11,19,38,219
Alaina Coates,WAS,C,20,0,197,18,34,.529,0,0,,18,34,.529,.529,14,26,.538,20,55,9,7,4,12,33,50
Nia Coffey,PHO,F,15,1,230,16,38,.421,7,21,.333,9,17,.529,.513,1,6,.167,5,37,12,5,5,7,30,40
Napheesa Collier,MIN,F,22,22,752,136,260,.523,20,49,.408,116,211,.550,.562,63,76,.829,61,199,73,40,28,60,60,355
Sydney Colson,CHI,G,17,0,110,10,22,.455,3,9,.333,7,13,.538,.523,7,8,.875,1,7,14,6,0,14,13,30
Te'a Cooper,LAS,G,20,3,345,51,113,.451,11,32,.344,40,81,.494,.500,26,34,.765,2,20,40,13,0,29,39,139
Kahleah Copper,CHI,G-F,22,22,688,132,266,.496,21,61,.344,111,205,.541,.536,42,57,.737,21,120,47,21,5,54,52,327
Lauren Cox,IND,F,14,1,183,18,43,.419,3,6,.500,15,37,.405,.453,11,15,.733,10,46,19,6,4,11,20,50
Sophie Cunningham,PHO,G,21,11,396,35,91,.385,12,51,.235,23,40,.575,.451,22,25,.880,9,22,16,11,3,15,46,104
Crystal Dangerfield,MIN,G,21,19,629,124,263,.471,34,102,.333,90,161,.559,.536,59,64,.922,5,41,75,18,1,54,31,341
