Manufacturer,Brand,Model,Displacement,Cylinders,MPG,Wheel
BMW,BMW,228i Gran Coupe,2.0,4,28,"2-Wheel Drive, Front"
BMW,BMW,228i xDrive Gran Coupe,2.0,4,27,All Wheel Drive
BMW,BMW,230i Convertible,2.0,4,27,"2-Wheel Drive, Rear"
BMW,BMW,230i Coupe,2.0,4,28,"2-Wheel Drive, Rear"
BMW,BMW,230i xDrive Convertible,2.0,4,24,All Wheel Drive
BMW,BMW,230i xDrive Coupe,2.0,4,24,All Wheel Drive
BMW,BMW,330i,2.0,4,30,"2-Wheel Drive, Rear"
BMW,BMW,330i xDrive,2.0,4,28,All Wheel Drive
BMW,BMW,430i Coupe,2.0,4,29,"2-Wheel Drive, Rear"
BMW,BMW,430i xDrive Coupe,2.0,4,27,All Wheel Drive
BMW,BMW,530i,2.0,4,28,"2-Wheel Drive, Rear"
BMW,BMW,530i xDrive,2.0,4,27,All Wheel Drive
BMW,BMW,540i,3.0,6,27,"2-Wheel Drive, Rear"
BMW,BMW,540i xDrive,3.0,6,26,All Wheel Drive
BMW,BMW,740i,3.0,6,25,"2-Wheel Drive, Rear"
BMW,BMW,740i xDrive,3.0,6,23,All Wheel Drive
BMW,BMW,750i xDrive,4.4,8,19,All Wheel Drive
BMW,BMW,840i Convertible,3.0,6,25,"2-Wheel Drive, Rear"
BMW,BMW,840i Coupe,3.0,6,25,"2-Wheel Drive, Rear"
BMW,BMW,840i Gran Coupe,3.0,6,25,"2-Wheel Drive, Rear"
BMW,BMW,840i xDrive Convertible,3.0,6,23,All Wheel Drive
BMW,BMW,840i xDrive Coupe,3.0,6,23,All Wheel Drive
BMW,BMW,840i xDrive Gran Coupe,3.0,6,23,All Wheel Drive
BMW,BMW,ALPINA XB7,4.4,8,17,All Wheel Drive
BMW,BMW,Alpina B7,4.4,8,19,All Wheel Drive
BMW,BMW,M2 Competition Coupe,3.0,6,19,"2-Wheel Drive, Rear"
BMW,BMW,M235i xDrive Gran Coupe,2.0,4,26,All Wheel Drive
BMW,BMW,M240i Convertible,3.0,6,24,"2-Wheel Drive, Rear"
BMW,BMW,M240i Coupe,3.0,6,24,"2-Wheel Drive, Rear"
BMW,BMW,M240i xDrive Convertible,3.0,6,24,All Wheel Drive
BMW,BMW,M240i xDrive Coupe,3.0,6,24,All Wheel Drive
BMW,BMW,M3,3.0,6,19,"2-Wheel Drive, Rear"
BMW,BMW,M3 Competition,3.0,6,19,"2-Wheel Drive, Rear"
BMW,BMW,M340i,3.0,6,26,"2-Wheel Drive, Rear"
BMW,BMW,M340i xDrive,3.0,6,25,All Wheel Drive
BMW,BMW,M4 Competition Coupe,3.0,6,19,"2-Wheel Drive, Rear"
BMW,BMW,M4 Coupe,3.0,6,19,"2-Wheel Drive, Rear"
BMW,BMW,M440i xDrive Coupe,3.0,6,25,All Wheel Drive
BMW,BMW,M5,4.4,8,17,All Wheel Drive
BMW,BMW,M5 Competition,4.4,8,17,All Wheel Drive
BMW,BMW,M550i xDrive,4.4,8,20,All Wheel Drive
BMW,BMW,M760i xDrive,6.6,12,16,All Wheel Drive
BMW,BMW,M8 Competition Convertible,4.4,8,17,All Wheel Drive
BMW,BMW,M8 Competition Gran Coupe,4.4,8,17,All Wheel Drive
BMW,BMW,M8 Gran Coupe,4.4,8,17,All Wheel Drive
BMW,BMW,M850i xDrive Convertible,4.4,8,19,All Wheel Drive
BMW,BMW,M850i xDrive Coupe,4.4,8,20,All Wheel Drive
BMW,BMW,M850i xDrive Gran Coupe,4.4,8,19,All Wheel Drive
