Institution,Control,City,State
University of Alabama,Public,Tuscaloosa,AL
University of Alabama at Birmingham,Public,Birmingham,AL
University at Albany,Public,Albany,NY
University of Arizona,Public,Tucson,AZ
Arizona State University,Public,Tempe,AZ
University of Arkansas,Public,Fayetteville,AR
Auburn University,Public,Auburn,AL
Binghamton University,Public,Vestal,NY
Boston College,Private (non-profit),Chestnut Hill,MA
Boston University,Private (non-profit),Boston,MA
Brandeis University,Private (non-profit),Waltham,MA
Brown University,Private (non-profit),Providence,RI
University at Buffalo,Public,Buffalo,NY
"University of California, Berkeley",Public,Berkeley,CA
"University of California, Davis",Public,Davis,CA
"University of California, Irvine",Public,Irvine,CA
"University of California, Los Angeles",Public,Los Angeles,CA
"University of California, Riverside",Public,Riverside,CA
"University of California, San Diego",Public,San Diego,CA
"University of California, Santa Barbara",Public,Santa Barbara,CA
"University of California, Santa Cruz",Public,Santa Cruz,CA
California Institute of Technology,Private (non-profit),Pasadena,CA
Carnegie Mellon University,Private (non-profit),Pittsburgh,PA
Case Western Reserve University,Private (non-profit),Cleveland,OH
University of Central Florida,Public,Orlando,FL
University of Chicago,Private (non-profit),Chicago,IL
University of Cincinnati,Public,Cincinnati,OH
Clemson University,Public,Clemson,SC
University of Colorado Boulder,Public,Boulder,CO
University of Colorado Denver/Anschutz-Medical Campus,Public,Denver,CO
Colorado State University,Public,Fort Collins,CO
Columbia University,Private (non-profit),New York,NY
University of Connecticut,Public,Storrs,CT
Cornell University,Private (non-profit),Ithaca,NY
CUNY Graduate School and University Center,Public,New York,NY
Dartmouth College,Private (non-profit),Hanover,NH
University of Delaware,Public,Newark,DE
Drexel University,Private (non-profit),Philadelphia,PA
Duke University,Private (non-profit),Durham,NC
Emory University,Private (non-profit),Atlanta,GA
University of Florida,Public,Gainesville,FL
Florida International University,Public,Miami,FL
Florida State University,Public,Tallahassee,FL
George Mason University,Public,Fairfax,VA
George Washington University,Private (non-profit),Washington,DC
Georgetown University,Private (non-profit),Washington,DC
University of Georgia,Public,Athens,GA
Georgia Institute of Technology,Public,Atlanta,GA
Georgia State University,Public,Atlanta,GA
Harvard University,Private (non-profit),Cambridge,MA
University of Hawaii at Manoa,Public,Honolulu,HI
University of Houston,Public,Houston,TX
University of Illinois at Chicago,Public,Chicago,IL
University of Illinois at Urbana–Champaign,Public,Champaign,IL
Indiana University Bloomington,Public,Bloomington,IN
University of Iowa,Public,Iowa City,IA
Iowa State University,Public,Ames,IA
Johns Hopkins University,Private (non-profit),Baltimore,MD
University of Kansas,Public,Lawrence,KS
Kansas State University,Public,Manhattan,KS
University of Kentucky,Public,Lexington,KY
Louisiana State University and Agricultural & Mechanical College,Public,Baton Rouge,LA
University of Louisville,Public,Louisville,KY
"University of Maryland, College Park",Public,College Park,MD
University of Massachusetts Amherst,Public,Amherst,MA
Massachusetts Institute of Technology,Private (non-profit),Cambridge,MA
University of Miami,Private (non-profit),Coral Gables,FL
University of Michigan,Public,Ann Arbor,MI
Michigan State University,Public,East Lansing,MI
University of Minnesota,Public,Minneapolis,MN
University of Mississippi,Public,Oxford,MS
Mississippi State University,Public,Starkville,MS
University of Missouri,Public,Columbia,MO
Montana State University,Public,Bozeman,MT
University of Nebraska–Lincoln,Public,Lincoln,NE
"University of Nevada, Las Vegas",Public,Las Vegas,NV
"University of Nevada, Reno",Public,Reno,NV
University of New Hampshire,Public,Durham,NH
New Jersey Institute of Technology,Public,Newark,NJ
University of New Mexico,Public,Albuquerque,NM
New York University,Private (non-profit),New York,NY
North Carolina State University,Public,Raleigh,NC
University of North Carolina at Chapel Hill,Public,Chapel Hill,NC
University of North Texas,Public,Denton,TX
Northeastern University,Private (non-profit),Boston,MA
Northwestern University,Private (non-profit),Evanston,IL
University of Notre Dame,Private (non-profit),Notre Dame,IN
Ohio State University[4],Public,Columbus,OH
University of Oklahoma,Public,Norman,OK
Oklahoma State University,Public,Stillwater,OK
University of Oregon,Public,Eugene,OR
Oregon State University,Public,Corvallis,OR
University of Pennsylvania,Private (non-profit),Philadelphia,PA
Pennsylvania State University,Public,University Park,PA
University of Pittsburgh,Public,Pittsburgh,PA
Princeton University,Private (non-profit),Princeton,NJ
Purdue University,Public,West Lafayette,IN
Rensselaer Polytechnic Institute,Private (non-profit),Troy,NY
Rice University,Private (non-profit),Houston,TX
University of Rochester,Private (non-profit),Rochester,NY
Rutgers University–New Brunswick,Public,New Brunswick,NJ
University of South Carolina,Public,Columbia,SC
University of South Florida,Public,Tampa,FL
University of Southern California,Private (non-profit),Los Angeles,CA
University of Southern Mississippi,Public,Hattiesburg,MS
Stanford University,Private (non-profit),Stanford,CA
Stony Brook University,Public,Stony Brook,NY
Syracuse University,Private (non-profit),Syracuse,NY
Temple University,Public,Philadelphia,PA
University of Tennessee,Public,Knoxville,TN
University of Texas at Arlington,Public,Arlington,TX
University of Texas at Austin,Public,Austin,TX
University of Texas at Dallas,Public,Richardson,TX
University of Texas at El Paso,Public,El Paso,TX
Texas A&M University,Public,College Station,TX
Texas Tech University,Public,Lubbock,TX
Tufts University,Private (non-profit),Medford,MA
Tulane University,Private (non-profit),New Orleans,LA
University of Utah,Public,Salt Lake City,UT
Vanderbilt University,Private (non-profit),Nashville,TN
University of Virginia,Public,Charlottesville,VA
Virginia Commonwealth University,Public,Richmond,VA
Virginia Polytechnic Institute and State University,Public,Blacksburg,VA
University of Washington,Public,Seattle,WA
Washington University in St. Louis,Private (non-profit),Saint Louis,MO
Washington State University,Public,Pullman,WA
Wayne State University,Public,Detroit,MI
University of Wisconsin–Madison,Public,Madison,WI
University of Wisconsin–Milwaukee,Public,Milwaukee,WI
West Virginia University,Public,Morgantown,WV
Yale University,Private (non-profit),New Haven,CT
