Rank,Country/Territory,GDP(US$million)
1,United States,"20,807,269"
2,China,"14,860,775"
3,Japan,"4,910,580"
4,Germany,"3,780,553"
5,United Kingdom,"2,638,296"
6,India,"2,592,583"
7,France,"2,551,451"
8,Italy,"1,848,222"
9,Canada,"1,600,264"
10,South Korea,"1,586,786"
11,Russia,"1,464,078"
12,Brazil,"1,363,767"
13,Australia,"1,334,688"
14,Spain,"1,247,464"
15,Indonesia,"1,088,768"
16,Mexico,"1,040,372"
17,Netherlands,"886,339"
18,Switzerland,"707,868"
19,Saudi Arabia,"680,897"
20,Turkey,"649,436"
21,Taiwan,"635,547"
22,Iran,"610,662"
23,Poland,"580,894"
24,Sweden,"529,054"
25,Thailand,"509,200"
26,Belgium,"503,416"
27,Nigeria,"442,976"
28,Austria,"432,894"
29,Ireland,"399,064"
30,Israel,"383,425"
31,Argentina,"382,760"
32,Philippines,"367,362"
33,Norway,"366,386"
34,Egypt,"361,875"
35,Bangladesh,"348,891"
36,United Arab Emirates,"353,899"
37,Hong Kong (China),"341,319"
38,Vietnam,"340,602"
39,Denmark,"339,626"
40,Singapore,"337,451"
41,Malaysia,"336,330"
42,South Africa,"282,588"
43,Pakistan,"276,200"
44,Finland,"267,856"
45,Colombia,"264,933"
46,Romania,"248,624"
47,Chile,"245,414"
48,Czech Republic,"241,975"
49,Portugal,"221,716"
50,Peru,"195,761"
51,Greece,"194,376"
52,New Zealand,"193,545"
53,Iraq,"178,112"
54,Kazakhstan,"165,730"
55,Hungary,"149,939"
56,Qatar,"147,791"
57,Algeria,"147,323"
58,Ukraine,"142,250"
59,Morocco,"112,220"
60,Kuwait,"108,656"
61,Slovakia,"101,892"
62,Kenya,"101,048"
63,Ethiopia,"95,588"
64,Puerto Rico (United States),"93,968"
65,Ecuador,"93,078"
66,Sri Lanka,"81,120"
67,Dominican Republic,"77,883"
68,Guatemala,"76,191"
69,Myanmar,"70,890"
70,Luxembourg,"68,613"
71,Bulgaria,"67,917"
72,Ghana,"67,337"
73,Tanzania,"64,123"
74,Angola,"62,724"
75,Oman,"62,305"
76,Côte d'Ivoire,"61,502"
77,Panama,"60,286"
78,Uzbekistan,"59,771"
79,Costa Rica,"59,645"
80,Belarus,"57,708"
81,Croatia,"56,768"
82,Lithuania,"55,064"
83,Uruguay,"54,135"
84,Serbia,"51,999"
85,Slovenia,"51,802"
86,Venezuela,"48,610"
87,Turkmenistan,"47,986"
88,"Congo, Democratic Republic of the","46,062"
89,Jordan,"42,609"
90,Azerbaijan,"41,666"
91,Tunisia,"39,226"
92,Cameroon,"39,036"
93,Bolivia,"38,938"
94,Uganda,"37,733"
95,Paraguay,"35,606"
96,Bahrain,"34,624"
97,Latvia,"33,015"
98,Sudan,"32,576"
99,Nepal,"32,158"
100,Estonia,"30,468"
101,Cambodia,"26,316"
102,Macau (China),"26,348"
103,El Salvador,"24,784"
104,Senegal,"24,409"
105,Honduras,"23,984"
106,Papua New Guinea,"23,283"
107,Cyprus,"23,246"
108,Trinidad and Tobago,"22,718"
109,Libya,"21,805"
110,Yemen,"20,948"
111,Iceland,"20,805"
112,Afghanistan,"19,006"
113,Zambia,"18,909"
114,Bosnia and Herzegovina,"18,893"
115,Lebanon,"18,734"
116,Laos,"18,653"
117,Mali,"17,685"
118,Georgia,"16,316"
119,Burkina Faso,"16,082"
120,Botswana,"15,872"
121,Benin,"15,292"
122,Gabon,"15,145"
123,Palestine,"14,750"
124,Mozambique,"14,557"
125,Malta,"14,290"
126,Guinea,"14,238"
127,Jamaica,"14,228"
128,Madagascar,"14,199"
129,Albania,"14,034"
130,Zimbabwe,"14,002"
131,Mongolia,"13,385"
132,Niger,"12,971"
133,Armenia,"12,813"
134,North Macedonia,"12,510"
135,Nicaragua,"11,905"
136,The Bahamas,"11,560"
137,Mauritius,"11,341"
138,Moldova,"11,241"
139,Brunei,"10,647"
140,Chad,"10,510"
141,Rwanda,"10,428"
142,Namibia,"10,252"
143,Equatorial Guinea,"10,028"
144,"Congo, Republic of the","9,964"
145,Haiti,"8,347"
146,Malawi,"8,330"
147,Tajikistan,"7,898"
148,Kosovo,"7,484"
149,Kyrgyzstan,"7,480"
150,Mauritania,"7,428"
151,Guyana,"6,806"
152,Togo,"5,719"
153,Montenegro,"4,943"
154,Somalia,"4,918"
155,Maldives,"4,712"
156,Barbados,"4,630"
157,South Sudan,"4,177"
158,Sierra Leone,"4,140"
159,Fiji,"3,932"
160,Eswatini,"3,848"
161,Djibouti,"3,408"
162,Burundi,"3,131"
163,Liberia,"3,068"
164,Bhutan,"2,587"
165,Suriname,"2,538"
166,Central African Republic,"2,321"
167,Aruba (Netherlands),"2,288"
168,Eritrea,"2,075"
169,Timor-Leste,"1,920"
170,Lesotho,"1,906"
171,Cabo Verde,"1,870"
172,The Gambia,"1,806"
173,Saint Lucia,"1,770"
174,Belize,"1,556"
175,Solomon Islands,"1,551"
176,San Marino,"1,410"
177,Guinea-Bissau,"1,392"
178,Antigua and Barbuda,"1,389"
179,Comoros,"1,200"
180,Seychelles,"1,198"
181,Grenada,"1,074"
182,Saint Kitts and Nevis,871
183,Vanuatu,864
184,Samoa,829
185,Saint Vincent and the Grenadines,777
186,Dominica,545
187,Tonga,503
188,São Tomé and Príncipe,417
189,"Micronesia, Federated States of",395
190,Palau,251
191,Marshall Islands,225
192,Kiribati,194
193,Nauru,114
194,Tuvalu,45
