,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7167120,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"Astronaut In The Ocean","Masked Wolf",4525731,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"drivers license","Olivia Rodrigo",4156025,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,telepatía,"Kali Uchis",4105827,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,"Save Your Tears","The Weeknd",3963053,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Hold On","Justin Bieber",3636991,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
7,"Leave The Door Open","Bruno Mars",3562490,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,"Heartbreak Anniversary",Giveon,3253686,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
9,"Blinding Lights","The Weeknd",3246141,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,DÁKITI,"Bad Bunny",3141723,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
11,"You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Taylor Swift",3135252,https://open.spotify.com/track/5pcjystBtalYeqaiXCcgEY
12,"MONTERO (Call Me By Your Name)","Lil Nas X",2972113,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
13,"The Business",Tiësto,2971101,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2897543,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,"Levitating (feat. DaBaby)","Dua Lipa",2862505,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
16,Up,"Cardi B",2839310,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,"Mood (feat. iann dior)",24kGoldn,2606003,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
18,"WITHOUT YOU","The Kid LAROI",2516593,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
19,Bandido,"Myke Towers",2489783,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
20,"As I Am (feat. Khalid)","Justin Bieber",2455320,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
21,"Calling My Phone","Lil Tjay",2435907,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
22,Fiel,"Los Legendarios",2425061,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
23,Streets,"Doja Cat",2414852,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
24,Anyone,"Justin Bieber",2228083,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
25,"Ella No Es Tuya - Remix","Rochy RD",2207382,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
26,"LA NOCHE DE ANOCHE","Bad Bunny",2148992,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
27,"Your Love (9PM)",ATB,2017917,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
28,"Watermelon Sugar","Harry Styles",1969120,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
29,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1959595,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
30,"Holy (feat. Chance The Rapper)","Justin Bieber",1953368,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
31,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1934188,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
32,BICHOTA,"KAROL G",1924286,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
33,Dynamite,BTS,1918182,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
34,"We're Good","Dua Lipa",1913976,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
35,Arcade,"Duncan Laurence",1896298,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
36,911,Sech,1882535,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
37,"What’s Next",Drake,1851261,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
38,"Good Days",SZA,1836510,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
39,positions,"Ariana Grande",1833886,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
40,"Heat Waves","Glass Animals",1831575,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
41,Whoopty,CJ,1827394,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
42,"On The Ground",ROSÉ,1826910,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
43,"Don't Start Now","Dua Lipa",1796161,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
44,"Goosebumps - Remix","Travis Scott",1794633,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
45,"Someone You Loved","Lewis Capaldi",1775894,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,"Hecha Pa' Mi",Boza,1732647,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
47,"Paradise (feat. Dermot Kennedy)",MEDUZA,1710068,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
48,"Lonely (with benny blanco)","Justin Bieber",1677635,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
49,"Head & Heart (feat. MNEK)","Joel Corry",1652759,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
50,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1650320,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
51,"you broke me first","Tate McRae",1605916,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
52,34+35,"Ariana Grande",1546065,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
53,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1542760,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
54,"GIRL LIKE ME","Black Eyed Peas",1517642,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
55,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1514847,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
56,"Wants and Needs (feat. Lil Baby)",Drake,1466569,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
57,"What You Know Bout Love","Pop Smoke",1437373,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
